kingdom,phylum,class,order,family,genus,species,common_name,binomial,bird,full_code
Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Wood Duck,Aix sponsa,TRUE,Aix sponsa_Wood Duck
Metazoa,Chordata,Aves,Passeriformes,Thamnophilidae,Akletos,goeldii,Goeldi's Antbird,Akletos goeldii,TRUE,Akletos goeldii_Goeldi's Antbird
Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Akletos,melanoceps,White-shouldered Antbird,Akletos melanoceps,TRUE,Akletos melanoceps_White-shouldered Antbird
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alaemon,alaudipes,Greater Hoopoe-Lark,Alaemon alaudipes,TRUE,Alaemon alaudipes_Greater Hoopoe-Lark
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,arvensis,Eurasian Skylark,Alauda arvensis,TRUE,Alauda arvensis_Eurasian Skylark
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,gulgula,Oriental Skylark,Alauda gulgula,TRUE,Alauda gulgula_Oriental Skylark
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alaudala,cheleensis,Asian Short-toed Lark,Alaudala cheleensis,TRUE,Alaudala cheleensis_Asian Short-toed Lark
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alaudala,heinei,Turkestan Short-toed Lark,Alaudala heinei,TRUE,Alaudala heinei_Turkestan Short-toed Lark
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alaudala,raytal,Sand Lark,Alaudala raytal,TRUE,Alaudala raytal_Sand Lark
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alaudala,rufescens,Mediterranean Short-toed Lark,Alaudala rufescens,TRUE,Alaudala rufescens_Mediterranean Short-toed Lark
Animalia,CHORDATA,Aves,Passeriformes,Alaudidae,Alaudala,somalica,Somali Short-toed Lark,Alaudala somalica,TRUE,Alaudala somalica_Somali Short-toed Lark
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,torda,Razorbill,Alca torda,TRUE,Alca torda_Razorbill
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,atthis,Common Kingfisher,Alcedo atthis,TRUE,Alcedo atthis_Common Kingfisher
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,meninting,Blue-eared Kingfisher,Alcedo meninting,TRUE,Alcedo meninting_Blue-eared Kingfisher
Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Alcippe,brunneicauda,Brown Fulvetta,Alcippe brunneicauda,TRUE,Alcippe brunneicauda_Brown Fulvetta
